#,Framework,Tải về
1,Systems Thinker Capability Model,[Download](sandbox:///mnt/agents/output/systems_thinker_capability_model.png)
2,Strategic Advisor Capability Model,[Download](sandbox:///mnt/agents/output/strategic_advisor_capability_model.png)
3,Organizational Architect Capability Model,[Download](sandbox:///mnt/agents/output/organizational_architect_capability_model.png)
4,Integrated Capability Framework (3 Tracks),[Download](sandbox:///mnt/agents/output/integrated_capability_framework.png)
5,Core Intersection Model (5 Domains),[Download](sandbox:///mnt/agents/output/core_intersection_model.png)
6,Structure Design Framework,[Download](sandbox:///mnt/agents/output/structure_design_framework.png)
7,Decision Rights Design Framework,[Download](sandbox:///mnt/agents/output/decision_rights_design_framework.png)
8,Information Flow Design Framework,[Download](sandbox:///mnt/agents/output/information_flow_design_framework.png)
9,Capability Design Framework,[Download](sandbox:///mnt/agents/output/capability_design_framework.png)
10,Coordination Mechanism Design Framework,[Download](sandbox:///mnt/agents/output/coordination_mechanism_design_framework.png)
11,Adaptive Capacity Design Framework,[Download](sandbox:///mnt/agents/output/adaptive_capacity_design_framework.png)
12,Cultural Values Design Framework,[Download](sandbox:///mnt/agents/output/cultural_values_design_framework.png)
13,Drucker → Decision Rights Mapping,[Download](sandbox:///mnt/agents/output/drucker_mbo_decision_rights_mapping.png)
14,Mintzberg → Structure Design Mapping,[Download](sandbox:///mnt/agents/output/mintzberg_structure_design_mapping.png)
15,Beer → Information Flow / Adaptive Mapping,[Download](sandbox:///mnt/agents/output/stafford_beer_vsm_mapping.png)
16,MIT Sloan Comparison,[Download](sandbox:///mnt/agents/output/mit_sloan_comparison_framework.png)
17,Elite Programs Comparison (5 Schools),[Download](sandbox:///mnt/agents/output/elite_programs_comparison_5_schools.png)
18,**Master Organizational Architect Integration**,**[Download](sandbox:///mnt/agents/output/master_organizational_architect_integration.png)**
